Fecha,seasonal
02/01/1997,0.995054696915859
03/01/1997,0.994463103360056
06/01/1997,0.9950472425521254
07/01/1997,0.995208597342252
08/01/1997,0.9947809055652888
09/01/1997,0.9945162634224848
10/01/1997,0.9957403018558858
13/01/1997,0.9960975713096335
14/01/1997,0.9951314831814659
15/01/1997,0.9947040755291506
16/01/1997,0.9941389792796296
17/01/1997,0.9940931462439524
20/01/1997,0.9953291452067089
21/01/1997,0.995374486081529
22/01/1997,0.9944005359561776
23/01/1997,0.993095356101149
24/01/1997,0.9925236215235768
27/01/1997,0.992428067333006
28/01/1997,0.9942292430595701
29/01/1997,0.9956602903120516
30/01/1997,0.9958067816585263
31/01/1997,0.9959552459801241
03/02/1997,0.9961302910204888
04/02/1997,0.9946880507150518
05/02/1997,0.9942743076083701
06/02/1997,0.99445233306277
07/02/1997,0.9946303554892773
10/02/1997,0.9961045927420503
11/02/1997,0.9975859121292888
12/02/1997,0.9960772613976735
13/02/1997,0.9962026847923704
14/02/1997,0.9977409654620342
17/02/1997,0.9980874193785656
18/02/1997,0.9977078072044006
19/02/1997,0.9973038843685391
20/02/1997,0.9972178887802285
21/02/1997,0.9957529580061247
24/02/1997,0.9964676821308116
25/02/1997,0.9959505375512738
26/02/1997,0.9955370140960419
27/02/1997,0.9955426353082123
28/02/1997,0.9951952719876137
03/03/1997,0.9953618685930359
04/03/1997,0.9954872499451699
05/03/1997,0.9953358422659885
06/03/1997,0.9954165572733746
07/03/1997,0.9949973850025191
10/03/1997,0.9943894506751987
11/03/1997,0.9953929079423082
12/03/1997,0.9958645836200846
13/03/1997,0.9965929887514999
14/03/1997,0.9966725143588097
17/03/1997,0.9975582797586044
18/03/1997,0.9981374690105922
19/03/1997,0.997436509209297
20/03/1997,0.9969774715469882
21/03/1997,0.9964798414602375
24/03/1997,0.9961427116928152
25/03/1997,0.9961629327064883
26/03/1997,0.9963403009722536
27/03/1997,0.9949896142509487
28/03/1997,0.9948087189673328
31/03/1997,0.9953151166137317
01/04/1997,0.9964250250566875
02/04/1997,0.997536045966246
03/04/1997,0.9984405544733055
04/04/1997,0.9986573293627778
07/04/1997,0.9989388818504361
08/04/1997,0.9987103949959322
09/04/1997,0.9982927320086061
10/04/1997,0.9992729657461187
11/04/1997,1.0004364817366536
14/04/1997,1.001629939536559
15/04/1997,1.0018436470458563
16/04/1997,1.0014629917367026
17/04/1997,1.0011161553354413
18/04/1997,1.0012421481655789
21/04/1997,1.0006180635596476
22/04/1997,0.9999614536410092
23/04/1997,0.9993293855353541
24/04/1997,0.9989893549865446
25/04/1997,0.997853764667575
28/04/1997,0.9974068114974244
29/04/1997,0.9976424859956945
30/04/1997,0.9983971200499947
01/05/1997,0.9984436439013908
02/05/1997,0.9986077198034784
05/05/1997,0.9993189660184686
06/05/1997,0.9999657807108339
07/05/1997,0.9997390875131874
08/05/1997,1.000333064695444
09/05/1997,0.9996923565614267
12/05/1997,0.9990750419636477
13/05/1997,0.9988079376318509
14/05/1997,0.9985215963522172
15/05/1997,0.9983965624108507
16/05/1997,0.997867382984142
19/05/1997,0.9977567903713495
20/05/1997,0.9979350990374544
21/05/1997,0.9977405598971658
22/05/1997,0.9976458214922161
23/05/1997,0.998255091363796
26/05/1997,0.9975303612155593
27/05/1997,0.9974371151764028
28/05/1997,0.9974686566326445
29/05/1997,0.9969618485953385
30/05/1997,0.9976187225268865
02/06/1997,0.9992478194886644
03/06/1997,1.000384417254358
04/06/1997,1.0011908637956064
05/06/1997,1.0008656937832245
06/06/1997,1.00104371437629
09/06/1997,1.001199980527433
10/06/1997,1.0009046739618204
11/06/1997,0.9996998417096197
12/06/1997,0.9991486023005142
13/06/1997,0.9997454434432019
16/06/1997,1.000752955976471
17/06/1997,1.0010175784951996
18/06/1997,1.0014355939627066
19/06/1997,1.000933132964657
20/06/1997,1.0003501935511112
23/06/1997,0.998816850350679
24/06/1997,0.9981532152274364
25/06/1997,0.9979988625582108
26/06/1997,0.9971814406403671
27/06/1997,0.9970386752031812
30/06/1997,0.9976205903761158
01/07/1997,0.9977718215326277
02/07/1997,0.9976835099065354
03/07/1997,0.9971543501876938
04/07/1997,0.9970478516873406
07/07/1997,0.998542041464888
08/07/1997,0.998893478806129
09/07/1997,0.9996665811618674
10/07/1997,1.0001792625964228
11/07/1997,0.9992802833345913
14/07/1997,0.9995874325405364
15/07/1997,0.9993863062290856
16/07/1997,0.9995780132435692
17/07/1997,0.9994104066256159
18/07/1997,0.9993821615225625
21/07/1997,1.0004315582849421
22/07/1997,1.0008385316114081
23/07/1997,1.0006487764831218
24/07/1997,1.0007596593701982
25/07/1997,1.0001380537543536
28/07/1997,1.0004921323940412
29/07/1997,1.0000772804319427
30/07/1997,1.000064247643599
31/07/1997,1.0003881265733132
01/08/1997,0.9990657062130838
04/08/1997,0.9984448917527659
05/08/1997,0.9990426923501312
06/08/1997,1.0001836769940446
07/08/1997,0.9999007136154776
08/08/1997,0.999917699009533
11/08/1997,1.0006451870668625
12/08/1997,1.001632167729291
13/08/1997,1.002179114803081
14/08/1997,1.0012595962983164
15/08/1997,1.0009353286252156
18/08/1997,1.0020277609430681
19/08/1997,1.0023343786207182
20/08/1997,1.0031940451194483
21/08/1997,1.0036547878361968
22/08/1997,1.0031464090255438
25/08/1997,1.003266373175082
26/08/1997,1.0034521909470906
27/08/1997,1.0015029150293606
28/08/1997,1.0015640856462171
29/08/1997,1.0019133950206676
01/09/1997,1.0020260159099197
02/09/1997,1.0022237804746195
03/09/1997,1.0022356436013542
04/09/1997,1.0017262996427776
